text,parent_text,tox_codes_oc,label_oc,tox_codes_ic,label_ic,toxicity_score
My signiture links to my current talk page; I don't know how you are getting to the old one. ,I am an editor; I can make decisions. I don't need permission. ,[0. 0. 0.],0,[0. 0. 0.],0,0.02779579
"Haven't proven anything? Hmm...
http://www.youtube.com/watch?v=qhskpjFXaRE
Now I have. Th-th-tha-th-tha-th-tha-that's all, folks.  ","You're the one being very immature. This is not your private page, nor have you proven anything. I suggest you read Wikipedia's policies before you get banned from making edits. ",[0. 0. 1.],0,[0. 1. 1.],1,0.049831573
" ""...and beware of the penguins."" -   - !",Shame on you. You forgot the 10 nematodes that General Ida N. Care hired. ,[0. 0. 0.],0,[0.5 0.  0. ],0,0.08241652
"If you care to change it, feel free. ",But wouldn't it still be better with the route names first?   | e-mail),[0. 0. 0.],0,[0. 0. 0.],0,0.019980038
"Yes thanks Derek, and you? Have a look at this link, seems to be close to definitive (official sleevenotes, annotated with corrections by a fan) - http://www.thewho.net/linernotes/LiveAtLeeds.htm ","Bugger, there goes my fiver then. You again, Kingboy, hope you are keeping well, old fruit.",[0. 0. 0.],0,[0. 0. 0.],0,0.022610499
"As long as you seem to be intrested in being silly, why not redirect pape to catholic   18:03 15 Jun 2003 (UTC)", then perhaps shaman should be redirected to shamanism? In the same way that bisexual redirects to bisexuality... ,[0.  0.  0.5],0,[1. 1. 1.],1,0.46186632
"Ach, darn. Does no one but creationists criticise Dawkins? ","Are you trying to be funny? ISCID is just a creationist outfit, with Dembski and his croonies doing their cargo cult science. At least the ""Answers in Genesis"" guys are open about it. ",[0. 0. 0.],0,[0. 0. 0.],0,0.509388
The chart looks very nice now. ,"Sorry, I was experimenting with adding a red background.  Thanks to 119 for reverting my edit. ",[0. 0. 0.],0,[0. 0. 0.],0,0.015581916
"No, it doesn't count.  Absence of evidence is not evidence of absence.   ","I've been there couple of times and I only heard Russian spoken by Russians (and people from other CIS countries). This is first hand source, does it count? P It's not a big deal anyway. ",[0. 0. 0.],0,[0. 0. 0.],0,0.045625936
"Please, stop trying to annoy me: please, stop writing nonsense on my talk page. — ",What is Weasel Talk for $1000 Alex? I believe you've found the Daily Double!,[1. 0. 0.],0,[0.5 0.  1. ],0,0.36095104
