dialogue_id,turn_id,no_context_text,full_context_text,no_context_score,full_context_score,no_context_binary,full_context_binary,score_delta,classification_changed
0,0,We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street!,We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street!,0.19789438,0.19789438,0,0,0.0,False
0,2,Our own must always come first. We have at least 13k homeless ex-soldiers sleeping rough,We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street! Our own must always come first. We have at least 13k homeless ex-soldiers sleeping rough,0.07608539,0.16043124,0,0,0.08434585,False
0,4,Our soldiers are left to rot on our streets while we house terrorists and child groomers,We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street! Our own must always come first. We have at least 13k homeless ex-soldiers sleeping rough Our soldiers are left to rot on our streets while we house terrorists and child groomers,0.50759226,0.40060925,1,1,-0.10698301000000005,False
0,6,"I’m a patriot, I care about the future of our once great country.","We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street! Our own must always come first. We have at least 13k homeless ex-soldiers sleeping rough Our soldiers are left to rot on our streets while we house terrorists and child groomers I’m a patriot, I care about the future of our once great country.",0.024967449,0.3389984,0,1,0.314030951,True
1,0,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again!,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again!,0.4826145,0.4826145,1,1,0.0,False
1,2,It segregates people based on their colour.,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again! It segregates people based on their colour.,0.25915736,0.4394682,0,1,0.18031083999999997,True
1,4,It should be called what it really is…Bad mouth whites’ month,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again! It segregates people based on their colour. It should be called what it really is…Bad mouth whites’ month,0.46186632,0.50503236,1,1,0.04316603999999996,False
1,6,It’s fake and harmful racial hatred driven by people who profit from it.,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again! It segregates people based on their colour. It should be called what it really is…Bad mouth whites’ month It’s fake and harmful racial hatred driven by people who profit from it.,0.36043653,0.47886392,1,1,0.11842739000000002,False
2,0,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness!,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness!,0.30527395,0.30527395,0,0,0.0,False
2,2,Its dangerous censorship and an assault on free speech.,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness! Its dangerous censorship and an assault on free speech.,0.10956833,0.25462922,0,0,0.14506089,False
2,4,What about freedom of expression in the arts?,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness! Its dangerous censorship and an assault on free speech. What about freedom of expression in the arts?,0.012503231,0.21107252,0,0,0.198569289,False
2,6,We need to protect our right to cause offence.,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness! Its dangerous censorship and an assault on free speech. What about freedom of expression in the arts? We need to protect our right to cause offence.,0.09611836,0.19219314,0,0,0.09607478000000001,False
3,0,More migrants crossing the channel today. We don’t have enough accommodation. Our own homeless are forgotten. Send them back.,More migrants crossing the channel today. We don’t have enough accommodation. Our own homeless are forgotten. Send them back.,0.3389984,0.3389984,1,1,0.0,False
3,2,During lockdown.,More migrants crossing the channel today. We don’t have enough accommodation. Our own homeless are forgotten. Send them back. During lockdown.,0.012314741,0.2853768,0,0,0.27306205899999997,False
3,4,We don’t have enough accommodation.,More migrants crossing the channel today. We don’t have enough accommodation. Our own homeless are forgotten. Send them back. During lockdown. We don’t have enough accommodation.,0.017843807,0.2648175,0,0,0.246973693,False
4,0,"Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride.","Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride.",0.026028076,0.026028076,0,0,0.0,False
4,2,Its political correctness gone mad!,"Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride. Its political correctness gone mad!",0.2786282,0.24924077,0,0,-0.029387429999999992,False
4,4,They need to get their priorities right. Virtue signalling do-gooders wasting taxpayers’ money,"Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride. Its political correctness gone mad! They need to get their priorities right. Virtue signalling do-gooders wasting taxpayers’ money",0.12086493,0.19694418,0,0,0.07607925,False
4,6,I’m sick of this bullshit being forced on us all.,"Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride. Its political correctness gone mad! They need to get their priorities right. Virtue signalling do-gooders wasting taxpayers’ money I’m sick of this bullshit being forced on us all.",0.82048255,0.60311776,1,1,-0.21736479000000009,False
5,0,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up!,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up!,0.20265625,0.20265625,0,0,0.0,False
5,2,We should be sinking the boats not handing out phones!,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up! We should be sinking the boats not handing out phones!,0.1991664,0.23812068,0,0,0.03895428000000001,False
5,4,Our traitor politicians are enabling invasion.,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up! We should be sinking the boats not handing out phones! Our traitor politicians are enabling invasion.,0.43720075,0.42568782,1,1,-0.011512930000000032,False
5,6,By handing out mobiles at the taxpayers’ expense?,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up! We should be sinking the boats not handing out phones! Our traitor politicians are enabling invasion. By handing out mobiles at the taxpayers’ expense?,0.008796243,0.37751234,0,1,0.368716097,True
6,0,"All credit to the Poles, they know how to control their borders. Bats and rubber bullets…I’d happily volunteer!","All credit to the Poles, they know how to control their borders. Bats and rubber bullets…I’d happily volunteer!",0.27236435,0.27236435,0,0,0.0,False
6,2,A proud country preventing an invasion.,"All credit to the Poles, they know how to control their borders. Bats and rubber bullets…I’d happily volunteer! A proud country preventing an invasion.",0.17545098,0.27525392,0,0,0.09980293999999998,False
