text,parent_text,text_score,parent_score,actual_score,api_score
"BTW, I see no ""attack"" here.  What I see is something I might describe as ""a group of editors discussing problematic editing, and asking for a change in behavior"".  It's seeing this as an ""attack"" and making things into a personal battle that is the ''problem'' here.  More of the same is ''not the solution''.   ","I also feel its important for StuRat to have his proper say on the proposed guidelines. He has not been able to so far as hes busy defending himself. Im sure that if Stu Rat has a part to play in the guidelines then he will have some ownerhip of them and is likely to resplct them (as I will have to  since I have rewritten a large part of them)8-|BTW, I see no ""attack"" here.  What I see is something I might describe as ""a group of editors discussing problematic editing, and asking for a change in behavior"".  It's seeing this as an ""attack"" and making things into a personal battle that is the ''problem'' here.  More of the same is ''not the solution''.   ",0.112746716,0.11057663,0,0.1323
I realise... I just want to urge caution and a thought to the impact when using templates. -  //WRE),"A main reason this project was started was to ''reduce'' the amount of templates/boilerplates used out there so people didn't get all confused over what the hell this one template is trying to tell me, and at what level.  I realise... I just want to urge caution and a thought to the impact when using templates. -  //WRE)",0.028385026,0.2820025,0,0.0314
"I should have stressed that this should be a time period that people are actually notified about for a specific article, not a ""this random article has been sitting unreferenced for two months so I can kill it now."" ","I'd go for that. (By the way, not all deletionists are cut out of the same block. ) ) I should have stressed that this should be a time period that people are actually notified about for a specific article, not a ""this random article has been sitting unreferenced for two months so I can kill it now."" ",0.37340668,0.34328604,0,0.2229
Thanks to Lysy for shortening and copy editing. Concur with Yannismarou's comments. ," (edit conflict with Piotrus) I agree with the shortening. My opinion is that the SS content of the current section must be the result of a consensus among the interested editors. I hope that after Lysy's intervention the editors will have the chance to focus on the other problems of the article, in order to keep GA status and, possibly, to go for FA promotion.Thanks to Lysy for shortening and copy editing. Concur with Yannismarou's comments. ",0.038048524,0.01834645,0,0.0559
" I like the additional info in the info box. It displays fine in IE 7 as well. There are slight formatting problems, but nothing that cannot be dealt with by asking a graphics guru to come by and help.
 By the way, both of you have now reverted three times, so let's let this one settle a bit for others to comment. ","The larger box displays fine in Mozilla Firefox. If you have trouble with another browser, reveal what it is - or fix it yourself without deleting other people's work. If you have display problems in Mozilla Firefox, then you need to adjust your computer settings.  I like the additional info in the info box. It displays fine in IE 7 as well. There are slight formatting problems, but nothing that cannot be dealt with by asking a graphics guru to come by and help.
 By the way, both of you have now reverted three times, so let's let this one settle a bit for others to comment. ",0.0201057,0.036162965,0,0.0539
"This last statement is absolutely meaningless. If you take anything that Al Franken said about
""Rush Limbaugh"" and replace him with ""Rosa Parks"" it would be all-too-clear how similar to David Dukes Mr Franken is. ","I disgree, Feminazi is a clear instance of hate speech, though he doesnt use it any more.  But if one replaced liberal with Jew in Rush's moronic diatribes, it would be all-too-clear how similar to Joseph Goebbels he is.This last statement is absolutely meaningless. If you take anything that Al Franken said about
""Rush Limbaugh"" and replace him with ""Rosa Parks"" it would be all-too-clear how similar to David Dukes Mr Franken is. ",0.20195828,0.49139655,0,0.1664
 That's what I thought. Just checking before I went ahead and removed it.    | ," Nope, and I think we should remove it...  That's what I thought. Just checking before I went ahead and removed it.    | ",0.027560094,0.045131154,0,0.0409
 There was a reference to this before. One from the subsection itself should serve. ,"No discussion on this? We need a non-self-referential source, i.e. Luther himself is an not adequate citation for 'many scholars characterize these writings as anti-Semitic.' I'm inclined to move the above # 9 to a {{fact}} ...  There was a reference to this before. One from the subsection itself should serve. ",0.015079274,0.112953395,0,0.0613
"I've been bold.  I've changed the text to ''attribution needed'', in keeping with ''citation needed'. -  ","Or how about a simple ' ''unattributed'' '?  This would flag unattributed opinions to editors and readers alike.  And it's short. - I've been bold.  I've changed the text to ''attribution needed'', in keeping with ''citation needed'. -  ",0.032627538,0.07608539,0,0.0413
"Many thanks,  — your intervention (particularly timely here/now as  is on a Wikibreak) is always welcome by me! I'll follow that link and am looking forward to putting my new skills to good use (and, should I run into difficulties, shall seek you out for further advice). ''  ''","Hi, Deborahjay; I thought I'd butt in and say that I find WP:CITET useful for adding refs; I just copy the relevant citation type and paste it into the article, and fill out the fields. Many thanks,  — your intervention (particularly timely here/now as  is on a Wikibreak) is always welcome by me! I'll follow that link and am looking forward to putting my new skills to good use (and, should I run into difficulties, shall seek you out for further advice). ''  ''",0.009487377,0.018095128,0,0.0695
" Don't be silly; this has been done before, maybe in November. They probably found loads more mistakes. See Template talk:Active Wiki Fixup Projects. ","Ok if you work on ""with"" I'll have a go with ""on"" ), I was surprised how few repeated words there are in wikipedia, considering how big it is. Cheers,   Don't be silly; this has been done before, maybe in November. They probably found loads more mistakes. See Template talk:Active Wiki Fixup Projects. ",0.4394682,0.30319387,1,0.369
"No problem.  Do you think that I should leave the discussion in both places (it seems hardly worth it in this case, but it would be useful to know in case I do it again where it matters)), or delete one?  If so, which? ","My error, I didn't mean to suggest foul play. And do I tend to think that others are as clueless finding their way about as I am,.. No problem.  Do you think that I should leave the discussion in both places (it seems hardly worth it in this case, but it would be useful to know in case I do it again where it matters)), or delete one?  If so, which? ",0.05354243,0.10783285,0,0.0582
"Quite honestly, I don't see a point in investigating where the image came from. Even if Fisss claims he's the author, I won't trust him. He has uploaded hundreds of images with not just missing, but deliberatly falsified licenses. At this point I think it's safe to assume that every image he uploads is stolen unless there's a clear indication that it's legit. ","Please check . Do you by any chanse know there the image came from? Quite honestly, I don't see a point in investigating where the image came from. Even if Fisss claims he's the author, I won't trust him. He has uploaded hundreds of images with not just missing, but deliberatly falsified licenses. At this point I think it's safe to assume that every image he uploads is stolen unless there's a clear indication that it's legit. ",0.15269235,0.14082454,0,0.1714
Silly is a big understatement.,"It was a really silly opening, and to think that it's acceptable to put up for a FA is ... annoying. Silly is a big understatement.",0.37795907,0.51980776,0,0.4368
