dialogue_id,turn_id,no_context_text,full_context_text,no_context_score,full_context_score
0,0,We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street!,We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street!,0.19789438,0.19789438
0,2,Our own must always come first. We have at least 13k homeless ex-soldiers sleeping rough,We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street! Our own must always come first. We have at least 13k homeless ex-soldiers sleeping rough,0.07608539,0.16043124
0,4,Our soldiers are left to rot on our streets while we house terrorists and child groomers,We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street! Our own must always come first. We have at least 13k homeless ex-soldiers sleeping rough Our soldiers are left to rot on our streets while we house terrorists and child groomers,0.50759226,0.40060925
0,6,"I’m a patriot, I care about the future of our once great country.","We’ve just imported 20k ticking time bombs from Afghanistan and we have homeless veterans getting arrested for begging in the street! Our own must always come first. We have at least 13k homeless ex-soldiers sleeping rough Our soldiers are left to rot on our streets while we house terrorists and child groomers I’m a patriot, I care about the future of our once great country.",0.024967449,0.3389984
1,0,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again!,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again!,0.4826145,0.4826145
1,2,It segregates people based on their colour.,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again! It segregates people based on their colour.,0.25915736,0.4394682
1,4,It should be called what it really is…Bad mouth whites’ month,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again! It segregates people based on their colour. It should be called what it really is…Bad mouth whites’ month,0.46186632,0.50503236
1,6,It’s fake and harmful racial hatred driven by people who profit from it.,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again! It segregates people based on their colour. It should be called what it really is…Bad mouth whites’ month It’s fake and harmful racial hatred driven by people who profit from it.,0.36043653,0.47886392
2,0,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness!,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness!,0.30527395,0.30527395
2,2,Its dangerous censorship and an assault on free speech.,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness! Its dangerous censorship and an assault on free speech.,0.10956833,0.25462922
2,4,What about freedom of expression in the arts?,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness! Its dangerous censorship and an assault on free speech. What about freedom of expression in the arts?,0.012503231,0.21107252
2,6,We need to protect our right to cause offence.,There’s a rumour that Terry Gilliam’s new production has been cancelled because the theatre is concerned about his anti-trans statements. More cancel culture madness! Its dangerous censorship and an assault on free speech. What about freedom of expression in the arts? We need to protect our right to cause offence.,0.09611836,0.19219314
3,0,More migrants crossing the channel today. We don’t have enough accommodation. Our own homeless are forgotten. Send them back.,More migrants crossing the channel today. We don’t have enough accommodation. Our own homeless are forgotten. Send them back.,0.3389984,0.3389984
3,2,During lockdown.,More migrants crossing the channel today. We don’t have enough accommodation. Our own homeless are forgotten. Send them back. During lockdown.,0.012314741,0.2853768
3,4,We don’t have enough accommodation.,More migrants crossing the channel today. We don’t have enough accommodation. Our own homeless are forgotten. Send them back. During lockdown. We don’t have enough accommodation.,0.017843807,0.2648175
4,0,"Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride.","Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride.",0.026028076,0.026028076
4,2,Its political correctness gone mad!,"Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride. Its political correctness gone mad!",0.2786282,0.24924077
4,4,They need to get their priorities right. Virtue signalling do-gooders wasting taxpayers’ money,"Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride. Its political correctness gone mad! They need to get their priorities right. Virtue signalling do-gooders wasting taxpayers’ money",0.12086493,0.19694418
4,6,I’m sick of this bullshit being forced on us all.,"Local Councils can’t afford to house the homeless, but Surrey is to get its first rainbow public crossing painted in time for Pride. Its political correctness gone mad! They need to get their priorities right. Virtue signalling do-gooders wasting taxpayers’ money I’m sick of this bullshit being forced on us all.",0.82048255,0.60311776
5,0,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up!,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up!,0.20265625,0.20265625
5,2,We should be sinking the boats not handing out phones!,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up! We should be sinking the boats not handing out phones!,0.1991664,0.23812068
5,4,Our traitor politicians are enabling invasion.,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up! We should be sinking the boats not handing out phones! Our traitor politicians are enabling invasion.,0.43720075,0.42568782
5,6,By handing out mobiles at the taxpayers’ expense?,I just read that the Home office is handing out mobile phones to migrant invaders so that they can progress their asylum claims … you couldn’t make this up! We should be sinking the boats not handing out phones! Our traitor politicians are enabling invasion. By handing out mobiles at the taxpayers’ expense?,0.008796243,0.37751234
6,0,"All credit to the Poles, they know how to control their borders. Bats and rubber bullets…I’d happily volunteer!","All credit to the Poles, they know how to control their borders. Bats and rubber bullets…I’d happily volunteer!",0.27236435,0.27236435
6,2,A proud country preventing an invasion.,"All credit to the Poles, they know how to control their borders. Bats and rubber bullets…I’d happily volunteer! A proud country preventing an invasion.",0.17545098,0.27525392
6,4,An army of potential terrorists and child molesters.,"All credit to the Poles, they know how to control their borders. Bats and rubber bullets…I’d happily volunteer! A proud country preventing an invasion. An army of potential terrorists and child molesters.",0.50503236,0.47323486
7,0,social media is banging on about the MOBO Awards again. When will we see awards for Music of WHITE Origin?,social media is banging on about the MOBO Awards again. When will we see awards for Music of WHITE Origin?,0.28087774,0.28087774
7,2,We don’t need to make everything about race.,social media is banging on about the MOBO Awards again. When will we see awards for Music of WHITE Origin? We don’t need to make everything about race.,0.07054565,0.27975297
7,4,Who really cares anyway?,social media is banging on about the MOBO Awards again. When will we see awards for Music of WHITE Origin? We don’t need to make everything about race. Who really cares anyway?,0.09394901,0.2854733
8,0,"All of the 50 criminals due to be deported yesterday to Jamaica, were removed from a chartered flight after appeals by Human Rights Lawyers.","All of the 50 criminals due to be deported yesterday to Jamaica, were removed from a chartered flight after appeals by Human Rights Lawyers.",0.06263174,0.06263174
8,2,"Its just a gravy train for leftie lawyers, all paid for by the tax payer. Foreigners shouldn’t have access to legal aid.","All of the 50 criminals due to be deported yesterday to Jamaica, were removed from a chartered flight after appeals by Human Rights Lawyers. Its just a gravy train for leftie lawyers, all paid for by the tax payer. Foreigners shouldn’t have access to legal aid.",0.27047762,0.22177623
8,4,It’s a bloody disgrace that we can’t get rid of foreign child molesters and rapists.,"All of the 50 criminals due to be deported yesterday to Jamaica, were removed from a chartered flight after appeals by Human Rights Lawyers. Its just a gravy train for leftie lawyers, all paid for by the tax payer. Foreigners shouldn’t have access to legal aid. It’s a bloody disgrace that we can’t get rid of foreign child molesters and rapists.",0.6027529,0.49139655
8,6,The legal system isn’t fit for purpose!,"All of the 50 criminals due to be deported yesterday to Jamaica, were removed from a chartered flight after appeals by Human Rights Lawyers. Its just a gravy train for leftie lawyers, all paid for by the tax payer. Foreigners shouldn’t have access to legal aid. It’s a bloody disgrace that we can’t get rid of foreign child molesters and rapists. The legal system isn’t fit for purpose!",0.06184035,0.4269174
9,0,"These Muslim MP’s should stop pretending they are British. They’re not, they are just invaders!","These Muslim MP’s should stop pretending they are British. They’re not, they are just invaders!",0.5885171,0.5885171
